group	X	Y
1	-13.77	11.2
1	-14.68	12.04
1	-16.07	11.61
1	-13.87	11.38
1	-13.82	11.93
1	-14.37	11.5
1	-14.64	12.13
1	-14.49	11.66
1	-14.06	12.1
1	-12.27	11.45
1	-15.4	13.13
1	-15.28	11.8
1	-13.53	11.13
1	-13.3	11.54
1	-13.66	12.16
1	-14.86	12.01
1	-14.39	11.43
1	-13.35	11.6
1	-14.61	11.95
1	-15.11	11.01
1	-13.34	11.96
1	-14.19	11.38
1	-13.69	11.29
1	-12.87	11.75
1	-13.71	12.11
1	-14.51	10.06
1	-13.21	11.43
1	-15.46	12.64
1	-13.63	11.79
1	-13.22	12.54
1	-15.15	11.78
1	-15.64	12.22
1	-14.02	11.54
1	-14.3	12.83
2	-16.21	15.1
2	-14.16	12.3
2	-15.54	13.04
2	-13.98	11.62
2	-14.83	13.37
2	-14.37	12.77
2	-14.83	12.19
2	-14.62	12.48
2	-14.57	12.69
2	-16.04	12.17
2	-14.63	12.2
2	-15.79	12.89
2	-15.68	12.6
2	-15.05	12.91
2	-15.71	12.61
2	-15.4	13
2	-14.14	12.71
2	-15.79	12.37
2	-15.47	12.34
2	-14.91	12.82
2	-14.98	13.05
2	-13.49	12.26
2	-14.67	12.35
2	-13	12.33
2	-15.15	13
2	-15.51	13.14
